name,host_id,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Ledroit Park Queen Room w/balcony,5362585,Ledroit,3/7/13,f,6,6,t,t,Bloomingdale,Washington,DC,20001,"Washington, DC",t,Bed & Breakfast,Private room,1,2,1,1,Futon,108,2,,,200,$25.00 ,0,$0.00 ,3,1125,336,10/3/15,0,0,0,0,,,,f,f,strict,t,t,5,
Modern U St Studio-Metro/Nightlife,28012709,Frank And Caroline,2/19/15,t,1,1,t,t,U Street Corridor,Washington,DC,20001,"Washington, DC",t,Apartment,Entire home/apt,4,1,0,2,Real Bed,99,2,600,2100,,$20.00 ,2,$10.00 ,1,1125,337,10/3/15,39,5/5/15,9/26/15,4,96,10,10,f,f,strict,f,f,1,7.7
Sunny U St Apt: Sleeps 1-4 - PetsOK,19221166,Kevin,7/31/14,f,1,1,t,t,U Street Corridor,Washington,DC,20001,"Washington, DC",t,House,Entire home/apt,4,1,1,2,Real Bed,155,3,1085,3978,100,$75.00 ,1,$20.00 ,1,1125,351,10/2/15,28,2/1/15,10/1/15,4,93,10,9,f,f,moderate,f,f,1,3.43
Best Location in Dc! DuPont / Logan,8008783,Cliff,8/7/13,f,30,30,t,t,Logan Circle,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,8,2,2,4,Real Bed,329,4,,,,$159.00 ,6,$5.00 ,3,1125,327,10/2/15,11,8/19/14,9/26/15,4,85,9,9,f,f,strict,f,f,27,0.8
"650sqft 2nd floor Apt, 1 Bed 1 Bath",13319995,Max B.,3/19/14,f,1,1,t,t,Columbia Heights,"Washington, D.C.",DC,20009,"Washington, D.C., DC",t,Apartment,Entire home/apt,2,1,1,2,Real Bed,95,2,625,,,,0,$0.00 ,2,1125,249,10/2/15,11,3/23/15,9/15/15,4,89,10,8,f,f,moderate,f,f,1,1.69
Brand new modern apartment,36041457,Travis,6/17/15,f,1,1,t,f,,Washington,DC,20009,"Washington, DC",f,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,2,,,,$60.00 ,1,$0.00 ,2,9,17,10/3/15,2,7/5/15,9/30/15,4,100,10,10,f,f,strict,f,f,1,0.66
"Renovated, Historic Condo 14th St!",40703244,Anita,8/6/15,f,3,3,t,t,,Washington,DC,20009,"Washington, DC",f,Apartment,Entire home/apt,4,1,0,2,Real Bed,189,3,899,2995,250,$100.00 ,2,$25.00 ,2,1125,356,10/2/15,0,0,0,0,,,,f,t,flexible,f,f,3,
STUNNING 2-story LOFT in BEST AREA!,454720,Melanie,3/21/11,f,1,1,t,t,Columbia Heights,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,5,2,2,3,Real Bed,329,4,2100,8200,350,$75.00 ,1,$0.00 ,1,1125,332,10/2/15,4,5/27/14,8/25/14,3,87,9,7,f,f,moderate,f,f,1,0.24
Annays DC - master private room,17054325,Lynnie,6/20/14,f,4,4,t,f,,Washington,DC,20024,"Washington, DC",f,Apartment,Private room,4,1,1,4,Real Bed,99,2,,,,$20.00 ,2,$10.00 ,1,1125,352,10/2/15,2,8/28/15,9/26/15,4,90,10,10,f,f,strict,f,f,4,1.62
Historic Row House in Downtown DC,3739972,Christopher,10/2/12,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Townhouse,Entire home/apt,7,2.5,3,2,Real Bed,299,4,,,,,1,$0.00 ,2,5,103,10/3/15,3,7/6/15,9/6/15,4,100,10,10,f,f,flexible,f,f,1,1
Annays DC - Girls shared room 1,17054325,Lynnie,6/20/14,f,4,4,t,f,,Washington,DC,20024,"Washington, DC",f,Apartment,Shared room,4,1,1,4,Real Bed,49,1,,,,$5.00 ,1,$49.00 ,1,1125,356,10/3/15,11,6/10/15,9/27/15,4,98,10,9,f,f,strict,f,f,4,2.84
Waterfront/Metro condo on Potomac ,1291787,Oksana,10/14/11,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,1,Real Bed,100,2,850,2100,,,1,$40.00 ,3,1125,359,10/3/15,2,5/17/15,5/17/15,2,100,10,8,f,f,flexible,f,f,1,0.43
Modern Studio in SW DC w/ Parking,36977429,Jacob,6/28/15,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,0,2,Real Bed,125,2,,,300,$15.00 ,4,$10.00 ,2,1125,71,10/3/15,1,7/27/15,7/27/15,3,100,10,10,f,f,moderate,f,f,1,0.43
LEnfant Room SW Waterfront Townhome,29537625,Sally,3/17/15,f,4,4,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,3,1.5,1,1,Real Bed,92,2,1000,3000,150,$30.00 ,2,$35.00 ,1,1125,174,10/3/15,17,5/8/15,9/28/15,4,82,9,8,f,f,strict,f,f,4,3.42
Airy Studio 10min walk 2 Nat'l Mall,20769175,Christopher,8/31/14,t,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,2,1,0,1,Real Bed,165,3,,,,,1,$0.00 ,1,1,89,10/3/15,11,9/10/14,7/30/15,3,95,10,10,f,f,flexible,f,f,1,0.85
Luxurious Penthouse Room&Priv Bath,9175305,Steve & Brian,10/1/13,f,2,2,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,119,2,881,,100,$25.00 ,2,$20.00 ,2,999,45,10/3/15,21,10/10/14,9/15/15,4,100,10,10,f,f,moderate,f,f,1,1.75
Bright Studio in SW,14035660,Nicole,4/8/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,2,1,0,1,Real Bed,120,2,,,,,1,$0.00 ,2,1125,12,10/3/15,2,5/26/15,6/29/15,3,100,10,10,f,f,strict,f,f,1,0.46
Modern Studio in Convenient SW DC,18836187,Udochi,7/24/14,f,1,1,t,t,,Washington,DC,20024,"Washington, DC",f,Apartment,Entire home/apt,2,1,0,1,Real Bed,85,2,,,,$10.00 ,2,$10.00 ,1,1125,0,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Sunny and Stylish DC Studio,33467959,Ariel,5/15/15,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Shared room,2,1,1,1,Real Bed,79,2,550,,,,1,$0.00 ,1,1125,29,10/2/15,14,5/24/15,9/24/15,4,100,10,10,f,f,strict,f,f,1,3.16
"Walk to Monuments, Metro, and More!",27952958,Ian,2/18/15,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,2,850,2700,250,$150.00 ,1,$0.00 ,2,60,40,10/2/15,2,9/20/15,10/2/15,4,100,10,10,f,f,strict,f,f,1,2
Awesome SWDC Penthouse Studio,22934187,Vito,10/24/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,0,2,Real Bed,142,2,995,1995,495,,2,$15.00 ,6,7,365,10/2/15,0,0,0,0,,,,f,f,strict,f,f,1,
Waterfront Suite,24689607,Garo,12/10/14,f,17,17,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,3,Real Bed,139,2,,,,$120.00 ,1,$30.00 ,1,29,364,10/2/15,0,0,0,0,,,,f,f,strict,f,f,2,
Central/Beautiful 2BR in DC!,2670876,Nicholas,6/18/12,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,2,2,2,2,Real Bed,250,3,,,,,2,$0.00 ,3,10,362,10/2/15,1,10/29/13,10/29/13,4,100,10,10,f,f,flexible,f,f,1,0.04
Annays DC - Girls shared room 2,17054325,Lynnie,6/20/14,f,4,4,t,f,,Washington,DC,20024,"Washington, DC",f,Apartment,Shared room,4,1,1,4,Real Bed,49,1,,,,,1,$49.00 ,1,1125,365,10/2/15,12,5/10/15,9/12/15,4,92,10,9,f,f,strict,f,f,4,2.45
Riverside Casa,36146278,Janice,6/18/15,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Bed & Breakfast,Private room,2,1,1,1,Real Bed,150,2,,,,,1,$0.00 ,1,1125,310,10/2/15,2,9/25/15,9/30/15,4,100,10,10,f,f,flexible,f,f,1,2
Steps to Metro & Nationals Stadium!,18491195,Scott,7/20/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Condominium,Entire home/apt,3,1,1,1,Real Bed,99,2,899,3999,,,1,$0.00 ,2,1125,4,10/2/15,15,6/7/15,9/24/15,4,99,10,10,f,f,moderate,f,f,1,3.78
Spacious Studio Close to Metro,19201561,Breno,7/30/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,0,1,Real Bed,95,2,600,,,$40.00 ,1,$0.00 ,1,1125,92,10/2/15,12,3/26/15,6/22/15,3,100,10,10,f,f,flexible,f,f,1,1.88
Master Suite SW Waterfront Townhome,29537625,Sally,3/17/15,f,4,4,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,5,1.5,1,2,Real Bed,114,2,1200,4200,149,$30.00 ,2,$35.00 ,1,1125,176,10/3/15,21,4/13/15,9/28/15,4,79,9,7,f,t,strict,f,f,4,3.62
"In heart of Southwest, by Nats park",14414200,Eric,4/17/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,80,2,400,1400,,$10.00 ,2,$25.00 ,1,1125,303,10/2/15,11,6/9/15,10/1/15,4,96,10,9,f,f,flexible,f,f,1,2.82
Private BD & BA near National Mall,39607743,Justin,7/26/15,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,70,2,,,,$12.00 ,1,$10.00 ,2,1125,279,10/2/15,5,8/11/15,9/24/15,4,100,10,9,f,f,moderate,f,f,1,2.78
"Central 1BR Near Museums, Metro",10952517,Sara,1/1/14,t,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Entire home/apt,2,1,1,1,Real Bed,139,2,,,,$35.00 ,2,$50.00 ,2,5,342,10/3/15,59,6/14/14,9/16/15,4,98,10,10,f,t,strict,f,f,1,3.71
"Beautiful, Spacious SW Apt.",41836920,Alexander,8/18/15,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,2,,,,,1,$0.00 ,1,1125,20,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Relaxing 1BR near National Mall ,8678995,Ruth,9/6/13,f,1,1,t,t,Southwest Waterfront,"Washington, D.C.",DC,20024,"Washington, D.C., DC",t,Apartment,Entire home/apt,6,1,1,3,Real Bed,101,2,,,,$30.00 ,2,$10.00 ,2,31,245,10/2/15,117,10/27/13,9/28/15,4,96,10,10,f,t,moderate,f,f,1,4.96
Modern Walkable National Mall Apt,39081821,Evan,7/20/15,f,1,1,t,t,,Washington,DC,20024,"Washington, DC",f,Apartment,Entire home/apt,4,1,1,1,Real Bed,198,3,,,,,1,$0.00 ,2,10,84,10/2/15,0,0,0,0,,,,f,f,moderate,f,f,1,
Townhouse near Metro & Restaurants,375052,Ilana,2/2/11,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Townhouse,Entire home/apt,4,1,1,1,Real Bed,80,2,500,2000,500,$50.00 ,1,$0.00 ,1,1125,291,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Just the perfect room in SW DC,3672670,Dennis,9/25/12,f,5,5,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,4,2,1,1,Real Bed,83,2,1500,3000,200,$15.00 ,2,$25.00 ,1,1125,354,10/3/15,41,12/15/14,9/29/15,4,90,9,9,f,t,moderate,f,f,5,4.2
SW Waterfront Apt w/ Capitol View,36906041,Whitney,6/27/15,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,1,Real Bed,94,2,550,,,$50.00 ,1,$0.00 ,1,1125,324,10/3/15,2,9/12/15,9/13/15,4,100,10,10,f,f,flexible,f,f,1,2
SWDC Bedroom SW Waterfront Townhome,29537625,Sally,3/17/15,f,4,4,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,4,1.5,1,1,Real Bed,104,2,999,3800,99,,2,$25.00 ,1,1125,172,10/3/15,36,4/25/15,9/30/15,4,79,8,7,f,t,strict,f,f,4,6.67
The perfect Baseball fans hangout,3672670,Dennis,9/25/12,f,5,5,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,3,1.5,1,1,Real Bed,69,2,650,1800,200,$15.00 ,2,$25.00 ,1,1125,357,10/3/15,128,1/17/13,9/25/15,4,90,9,9,f,t,moderate,f,f,5,3.88
waterfront metro across the street,5702645,Ni,3/31/13,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,1,1,1,1,Real Bed,70,2,,,100,$25.00 ,1,$0.00 ,1,3,178,10/3/15,0,0,0,0,,,,f,f,strict,f,f,1,
The Jefferson Travel House,104340,Wavely,4/6/10,f,2,2,t,f,Southwest Waterfront,"Washington, D.C.",DC,20024,"Washington, D.C., DC",t,House,Entire home/apt,4,1,1,2,Real Bed,279,4,1899,6600,200,$175.00 ,4,$150.00 ,2,1125,365,10/2/15,2,5/19/15,5/22/15,2,60,6,7,f,f,strict,f,f,2,0.43
"Spacious 2BD,Trendy,Downtown DC apt",4314915,Arnab,12/3/12,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,5,1,2,2,Real Bed,199,3,1200,3700,300,$29.00 ,1,$0.00 ,1,1125,362,10/2/15,17,11/30/14,7/6/15,3,73,8,7,f,f,moderate,f,t,1,1.66
Quaint den in Waterfront,10806996,Harold,12/25/13,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Shared room,2,1,1,2,Real Bed,60,2,500,1500,500,$5.00 ,1,$15.00 ,1,1125,365,10/2/15,11,9/1/14,7/15/15,3,87,9,8,f,f,strict,f,f,1,0.83
A quiet room near Nats stadium,3672670,Dennis,9/25/12,f,5,5,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,1,1.5,1,1,Real Bed,59,2,500,1850,150,$10.00 ,2,$15.00 ,1,1125,360,10/2/15,0,0,0,0,,,,f,t,flexible,f,f,5,
Steps to the Mall and Capitol Hill,38846071,Galen,7/18/15,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,100,2,600,,,$25.00 ,1,$0.00 ,2,1125,360,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Comfy Room in Southwest DC,39865710,Jon,7/28/15,f,2,2,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,75,2,,,,,1,$0.00 ,1,1125,320,10/2/15,2,9/13/15,9/18/15,4,100,10,10,f,f,moderate,f,f,2,2
The Smithsonian Vacation House,104340,Wavely,4/6/10,f,2,2,t,f,Southwest Waterfront,"Washington, D.C.",DC,20024,"Washington, D.C., DC",t,House,Entire home/apt,8,2.5,3,5,Real Bed,379,5,2653,9200,200,$175.00 ,6,$179.00 ,2,90,361,10/2/15,7,12/29/14,9/18/15,4,87,9,7,f,f,strict,f,f,2,0.75
Beach Getaway in the Capital,34304292,Olga,5/26/15,f,1,1,t,t,,Washington,DC,20024,"Washington, DC",f,Apartment,Entire home/apt,2,1,0,1,Real Bed,120,2,850,,,$60.00 ,1,$15.00 ,2,7,150,10/2/15,9,6/17/15,9/17/15,4,95,10,10,f,f,moderate,f,f,1,2.48
1-Bedroom 6 Blocks to National Mall,14058111,Steven,4/8/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,169,3,450,3759,,$39.00 ,1,$0.00 ,5,1125,212,10/2/15,8,2/15/15,9/21/15,4,98,10,10,f,f,flexible,f,f,1,1.04
Small furnished room in Washington,3672670,Dennis,9/25/12,f,5,5,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,1,1.5,1,1,Real Bed,49,1,550,1550,200,$15.00 ,1,$30.00 ,1,1100,360,10/2/15,77,5/29/13,9/29/15,4,88,9,9,f,t,moderate,f,f,5,2.69
Nice Bedroom SW Waterfront Townhome,29537625,Sally,3/17/15,f,4,4,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",f,Other,Private room,1,0,1,1,Real Bed,69,2,500,2000,100,$25.00 ,2,$25.00 ,1,1125,357,10/2/15,1,7/6/15,7/6/15,3,40,10,10,f,f,flexible,f,f,4,0.33
Giant Corner Apartment (All Windows,14130730,Zach,4/10/14,f,1,1,t,f,,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,126,2,825,,,$59.00 ,1,$29.00 ,3,20,334,10/2/15,6,11/18/14,8/1/15,3,90,10,9,f,f,moderate,f,f,1,0.56
Sports fan? Stay at The Clubhouse!,31824228,Rachel,4/23/15,f,3,3,t,t,,Washington,DC,20003,"Washington, DC",f,Apartment,Private room,2,1,1,1,Real Bed,120,2,,,100,$50.00 ,1,$0.00 ,1,7,127,10/3/15,22,5/9/15,9/27/15,4,97,10,10,f,f,moderate,f,f,3,4.46
Lovely and Tastefully Elegant Condo,4964128,Bernard,2/4/13,f,2,2,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,1,Pull-out Sofa,125,2,,,125,$125.00 ,1,$0.00 ,2,1125,334,10/3/15,3,9/23/14,7/28/15,3,100,10,10,f,f,strict,f,f,2,0.24
CONDO-CORPORATE HOUSING 6 month min,5846635,Adrienne,4/9/13,f,2,2,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,2,700,2200,150,$60.00 ,2,$0.00 ,9,365,326,10/3/15,31,5/5/13,9/24/15,4,95,10,10,f,f,strict,f,f,2,1.05
Spacious Studio Apt near Capitol,18975008,Jennifer,7/27/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,3,1,0,1,Real Bed,110,2,750,,300,$15.00 ,2,$5.00 ,2,1125,265,10/3/15,3,9/8/14,5/12/15,2,93,7,7,f,f,moderate,f,f,1,0.23
Master bedroom near the stadium,3672670,Dennis,9/25/12,f,5,5,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,2,1.5,1,1,Real Bed,59,2,500,1650,200,$10.00 ,1,$10.00 ,1,1125,351,10/3/15,3,9/9/15,9/24/15,4,87,10,9,f,t,strict,f,f,5,3
Washington Waterfront Apartment,10372748,Anna,12/1/13,f,11,11,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,250,3,,,,$150.00 ,1,$150.00 ,1,1125,365,10/3/15,2,12/7/14,4/17/15,2,90,7,9,f,f,strict,f,f,2,0.2
2BR 1.5 BA by Waterfront/Navy Yard,33241603,Scott,5/12/15,f,1,1,t,t,,Washington,DC,20024,"Washington, DC",f,Apartment,Entire home/apt,6,1.5,2,2,Real Bed,125,2,,,,$10.00 ,4,$25.00 ,1,1125,362,10/3/15,0,0,0,0,,,,f,f,moderate,f,f,1,
Easy Access to Museums/Monuments! ,8452151,Myron,8/27/13,f,2,2,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Shared room,2,1,1,2,Real Bed,65,2,,,120,$5.00 ,1,$30.00 ,1,1125,364,10/3/15,5,3/20/15,7/1/15,3,88,9,8,f,f,strict,f,f,1,0.76
LUXURY Top-Floor Corner Apt. VIEWS!,33658455,Kai,5/18/15,f,3,3,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,7,2,3,3,Real Bed,245,3,1490,,,$100.00 ,2,$35.00 ,4,30,22,10/3/15,0,0,0,0,,,,f,f,strict,f,f,1,
1 BR/BA Contemporary Apartment,37520949,Ron,7/5/15,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",f,Apartment,Entire home/apt,4,1,1,2,Real Bed,130,2,774,2730,,,1,$0.00 ,2,1125,336,10/3/15,6,9/16/15,10/2/15,4,90,9,9,f,f,flexible,f,f,1,6
Studio w/ private bath,15269263,Michael,5/8/14,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Townhouse,Private room,2,1,1,1,Futon,125,2,750,2850,250,$50.00 ,1,$0.00 ,2,31,361,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Cherry Blossom Apartment,20011795,Katharine,8/14/14,f,1,1,t,t,,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,2,1,0,1,Real Bed,119,2,1000,,,$20.00 ,1,$0.00 ,1,1125,159,10/3/15,4,4/22/15,6/3/15,3,100,10,10,f,f,flexible,f,f,1,0.73
Breathtaking view/minimalist space,12650794,Tee,2/27/14,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,90,2,385,1400,150,$20.00 ,1,$25.00 ,1,30,132,10/3/15,5,3/22/15,8/5/15,3,96,10,10,f,f,moderate,f,f,1,0.77
Walk to the monuments!,20275073,Amanda,8/19/14,f,1,1,t,f,,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,1,Real Bed,150,2,,,100,$50.00 ,2,$25.00 ,1,1125,273,10/3/15,2,7/8/15,7/20/15,3,100,10,10,f,f,flexible,f,f,1,0.68
Private Bedroom near Monuments,16474996,Zachary,6/6/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,100,2,,,,,2,$25.00 ,1,1125,349,10/3/15,30,4/5/15,9/24/15,4,89,9,8,f,f,flexible,f,f,1,4.95
"Light filled 2BD,Downtown DC apt",38497006,Smita,7/14/15,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,2,2,Real Bed,239,3,,,300,$30.00 ,0,$0.00 ,1,1125,365,10/3/15,2,7/30/15,9/2/15,4,80,8,6,f,f,moderate,f,f,1,0.91
500 Square Feet of Greatness,13674247,Kat,3/29/14,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,3,1,0,2,Real Bed,94,2,,,,,0,$0.00 ,1,1125,203,10/3/15,2,9/7/15,9/21/15,4,100,10,9,f,f,moderate,f,f,1,2
Luxury Apt - SW Waterfront,32370033,Hyun,5/1/15,f,1,1,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Shared room,2,1,1,2,Real Bed,55,2,325,1050,,$55.00 ,1,$30.00 ,1,1125,361,10/3/15,1,8/31/15,8/31/15,3,100,10,10,f,f,flexible,f,f,1,0.88
High Rise Studio -  Heart of DC!,22508943,Natalie,10/13/14,f,1,1,t,f,Southwest Waterfront,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,3,1,0,1,Real Bed,94,2,750,2200,,$60.00 ,3,$25.00 ,1,1125,22,10/3/15,0,0,0,0,,,,f,f,strict,f,f,1,
Tastefully Appointed Townhouse Near,4964128,Bernard,2/4/13,f,2,2,t,t,Southwest Waterfront,"Washington, D.C.",DC,20024,"Washington, D.C., DC",t,House,Entire home/apt,8,2.5,2,4,Real Bed,275,4,1750,,100,$125.00 ,8,$25.00 ,7,1125,358,10/3/15,4,7/11/14,4/2/15,2,87,9,8,f,f,strict,f,f,2,0.27
Spacious Apartment in Southwest DC,39865710,Jon,7/28/15,f,2,2,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,7,2,2,3,Real Bed,100,2,,,100,,1,$0.00 ,1,1125,27,10/3/15,1,9/25/15,9/25/15,4,100,10,10,f,f,moderate,f,f,2,1
Cozy basement right off monuments!,11771833,Luisa,1/29/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,160,3,,,,$80.00 ,1,$0.00 ,2,1125,341,10/3/15,12,4/26/14,9/11/15,4,95,10,10,f,t,strict,f,f,1,0.68
Charming 1 bedroom near Mall/Metro,32837957,Kenneth,5/7/15,f,2,2,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Townhouse,Private room,1,1.5,1,1,Real Bed,75,2,510,1750,150,$30.00 ,1,$0.00 ,2,1125,359,10/3/15,7,5/22/15,9/28/15,4,100,10,10,f,t,moderate,f,f,2,1.56
Downtown DC- 2 Metro stops to Mall,27910,Jill,7/27/09,f,2,2,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,House,Private room,2,2,1,1,Real Bed,85,2,525,1350,100,,1,$10.00 ,10,365,281,10/3/15,46,8/20/09,8/21/15,3,92,9,9,f,f,strict,t,t,1,0.62
"Waterfront, Monuments, Sports, Arts",3982280,Marie,10/26/12,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,1,1,1,1,Real Bed,75,2,,,,$50.00 ,1,$0.00 ,1,1125,356,10/3/15,56,5/24/14,9/28/15,4,92,9,10,f,f,flexible,f,f,1,3.37
New apartment with views of city,31824228,Rachel,4/23/15,f,3,3,t,t,,Washington,DC,20003,"Washington, DC",f,Apartment,Entire home/apt,4,2,2,2,Real Bed,250,3,,,100,$100.00 ,3,$0.00 ,2,4,25,10/2/15,0,0,0,0,,,,f,f,strict,f,f,3,
Cozy Bedroom/office by metro,32837957,Kenneth,5/7/15,f,2,2,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Townhouse,Private room,1,1.5,1,1,Real Bed,70,2,450,1450,150,$30.00 ,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,moderate,f,f,2,
Waterfront large 2 bed-2 bath apt.,13997197,Anahita & Rik,4/7/14,f,1,1,t,t,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Entire home/apt,4,2,2,2,Real Bed,228,3,1600,4480,800,$185.00 ,4,$0.00 ,1,1125,338,10/2/15,10,4/22/14,8/4/15,3,100,10,10,f,f,strict,f,f,1,0.57
Annays DC - Private Room,17054325,Lynnie,6/20/14,f,4,4,t,f,Southwest Waterfront,Washington,DC,20024,"Washington, DC",t,Apartment,Private room,4,1,1,2,Real Bed,69,2,,,,$10.00 ,1,$10.00 ,1,1125,330,10/2/15,38,2/13/15,9/15/15,4,86,10,9,f,f,strict,f,f,4,4.89
