name,host_id,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Dupont West: Charming Studio,28825130,Greg,3/5/15,t,3,3,t,t,Dupont Circle,Washington,DC,20037,"Washington, DC",t,Apartment,Entire home/apt,2,1,0,1,Real Bed,160,3,1008,3360,500,$75.00 ,1,$0.00 ,2,1125,59,10/3/15,26,4/8/15,9/26/15,4,98,10,10,f,f,moderate,f,f,3,4.36
"Beautiful Apartment, Best Location!",21491596,Oliver,9/18/14,t,1,1,t,t,U Street Corridor,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,219,3,,,200,$45.00 ,2,$50.00 ,2,1125,88,10/3/15,12,10/2/14,7/6/15,3,98,10,10,f,f,strict,f,f,1,0.98
T Street Carriage House Room 8,28827689,Carolyn,3/5/15,f,23,23,t,f,U Street Corridor,Washington,DC,20009,"Washington, DC",t,House,Private room,1,1.5,1,1,Real Bed,89,2,,,,,1,$0.00 ,1,1125,279,10/3/15,6,5/26/15,9/10/15,4,90,9,10,f,f,strict,f,f,23,1.37
Dupont Circle 1 Bedroom,6358087,Elaine,5/12/13,f,1,1,t,f,Dupont Circle,Washington,DC,20009,"Washington, DC",t,House,Entire home/apt,2,1,1,1,Real Bed,120,2,700,2200,,$55.00 ,1,$0.00 ,1,1125,157,10/3/15,3,8/20/15,9/7/15,4,100,10,10,f,f,flexible,f,f,1,2
Dupont Stay - Shared Room!,40989799,Elvis,8/9/15,f,3,3,t,t,Dupont Circle,Washington,DC,20009,"Washington, DC",t,House,Shared room,6,2.5,1,6,Real Bed,36,1,,,,,1,$36.00 ,2,30,336,10/3/15,7,8/13/15,9/27/15,4,94,10,9,f,f,strict,f,f,3,4.04
Furnished Studio in Dupont Circle,9786589,Dasha,11/3/13,f,1,1,t,f,Dupont Circle,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,2,1,0,1,Real Bed,95,2,500,,,,1,$0.00 ,3,30,242,10/3/15,6,12/21/13,9/15/15,4,90,10,9,f,f,moderate,f,f,1,0.28
Dupont South Private Suite 2,28827689,Carolyn,3/5/15,f,23,23,t,f,Dupont Circle,Washington,DC,20036,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,120,2,,,,,1,$0.00 ,1,1125,295,10/3/15,7,5/20/15,7/31/15,3,100,10,10,f,f,strict,f,f,23,1.53
Dupont Apt -  $100/night,12863984,Lauren,3/6/14,f,1,1,t,t,U Street Corridor,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,2,,,,,1,$0.00 ,1,1125,233,10/3/15,10,5/26/14,9/9/15,4,98,10,9,f,f,flexible,f,f,1,0.6
Studio Apt near Dupont Circle/U-St.,24950963,Mati,12/17/14,f,1,1,t,t,,Washington,DC,,"Washington, DC",f,Apartment,Entire home/apt,3,1,1,1,Airbed,99,2,999,3869,,$40.00 ,2,$30.00 ,3,1125,91,10/3/15,18,1/11/15,8/23/15,3,83,9,8,f,f,strict,f,f,1,2.03
Stylish Studio in Dupont Circle,5034891,Yassin,2/10/13,f,2,2,t,t,Dupont Circle,Washington,DC,20036,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,100,2,500,2000,100,$30.00 ,1,$30.00 ,1,1125,211,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
"1 bedroom apt, great location",576953,Olha,5/10/11,f,1,1,t,t,Logan Circle,Washington,DC,20005,"Washington, DC",t,Apartment,Entire home/apt,3,1.5,1,3,Real Bed,98,2,669,2179,,$30.00 ,2,$49.00 ,1,30,238,10/3/15,20,6/11/12,9/9/15,4,93,10,8,f,f,moderate,f,f,1,0.5
Quiet Block In the Middle of It All,20236500,Carl,8/18/14,f,2,2,t,t,Dupont Circle,Dupont Circle,DC,20009,"Dupont Circle, DC",t,Apartment,Entire home/apt,3,1,1,2,Real Bed,143,2,1000,2584,2500,$100.00 ,1,$0.00 ,7,1125,0,10/3/15,10,11/6/14,9/25/15,4,96,10,10,f,f,strict,f,f,2,0.9
" Surprisingly Sunny, Arty Apartment",8354112,Marcy,8/23/13,t,3,3,t,t,U Street Corridor,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,2,800,2400,250,$65.00 ,2,$20.00 ,3,1125,260,10/3/15,60,9/15/13,9/24/15,4,99,10,10,f,f,moderate,f,f,2,2.4
Dupont Circle/U street House,1386702,John,11/8/11,f,12,12,t,f,U Street Corridor,Washington,DC,20009,"Washington, DC",t,House,Entire home/apt,11,3.5,5,5,Real Bed,150,2,,,300,$150.00 ,1,$135.00 ,2,180,176,10/3/15,3,3/21/15,7/31/15,3,73,8,7,f,f,strict,f,f,12,0.46
Dupont South Private Suite 1,28827689,Carolyn,3/5/15,f,23,23,t,f,Dupont Circle,Washington,DC,20036,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,120,2,,,,,1,$0.00 ,1,29,293,10/3/15,11,4/13/15,9/18/15,4,96,9,9,f,f,strict,f,f,23,1.9
Dupont South Private Suite 3,28827689,Carolyn,3/5/15,f,23,23,t,f,Dupont Circle,Washington,DC,20036,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,120,2,,,,,1,$0.00 ,1,29,292,10/3/15,9,4/22/15,8/29/15,3,95,10,9,f,f,strict,f,f,23,1.64
Private Room in Dupont Circle,1650960,Qing,1/25/12,f,12,12,t,t,Dupont Circle,Washington,DC,20009,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,85,2,,,300,$40.00 ,2,$0.00 ,3,1125,349,10/3/15,24,7/22/14,5/25/15,2,81,8,8,f,f,moderate,t,t,1,1.64
Beautiful 1BR in Dupont Circle,7267709,Lex,7/3/13,f,1,1,t,t,Dupont Circle,Washington,DC,20037,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,1,Real Bed,125,2,650,,,$25.00 ,1,$0.00 ,2,1125,4,10/3/15,6,3/18/15,8/14/15,3,100,10,10,f,f,moderate,f,f,1,0.9
