property_type,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood
1,4,1,0,14,20037,0,1,39
1,4,1,0,14,20052,0,1,39
11,3,1,9,14,20037,0,0,32
1,2,1,2,14,20037,1,1,99
1,4,1,0,14,20037,0,1,39
8,4,1,19,14,20037,0,1,32
1,2,2,8,14,20037,0,1,39
1,2,1,1,14,20006,0,1,39
1,2,2,7,14,20037,0,1,99
1,2,1,19,14,20037,0,1,99
1,2,2,22,14,20037,1,1,39
6,3,1,3,14,20037,0,1,99
1,3,1,1,14,20037,0,1,39
1,2,1,8,14,20006,0,1,39
1,2,1,2,14,20036,1,1,32
1,2,1,2,14,20037,1,1,99
1,4,1,3,14,20037,0,1,39
1,6,1,0,14,20037,0,1,99
1,2,1,1,14,20037,0,1,99
1,3,1,35,14,20037,0,1,39
1,2,1,25,14,20037,0,1,32
1,2,1,2,14,20007,1,1,48
1,2,1,5,14,20007,1,1,48
1,4,1,2,14,20052,0,1,39
1,3,1,30,14,20052,1,1,39
1,2,1,12,14,20037,1,1,39
1,2,2,14,14,20006,0,1,39
1,2,1,7,14,20037,0,0,39
1,4,1,5,14,20037,0,1,39
1,3,1,1,14,20037,0,1,39
1,6,1,0,14,20037,0,1,99
1,2,1,0,14,20037,0,1,99
1,6,1,0,14,20037,0,1,39
1,2,1,2,14,20052,0,1,39
1,4,1,8,14,20037,0,1,99
1,4,1,3,14,20037,0,1,39
1,4,1,10,14,20037,0,1,39
1,2,1,0,14,20037,0,1,99
1,3,1,22,14,20037,1,1,39
1,4,1,2,14,20037,0,1,99
1,2,1,1,14,20037,1,1,32
1,4,1,2,14,20037,0,1,99
1,3,1,0,14,20037,0,1,99
1,4,1,10,14,20037,0,1,39
1,3,1,6,14,20037,0,1,99
1,3,1,3,14,20037,0,1,99
1,3,1,0,14,20037,0,1,99
1,4,1,0,14,20037,0,1,99
1,2,1,6,14,20006,0,1,39
1,4,1,2,14,20037,0,1,39
1,3,1,0,14,20037,0,1,39
8,3,1,2,14,20037,0,1,39
1,3,1,9,14,20037,0,1,99
1,6,1,0,14,20037,0,1,99
1,6,1,0,14,20037,0,1,99
1,2,2,1,14,20037,0,1,99
1,1,3,30,14,20037,1,1,39
9,2,1,0,14,20037,1,1,39
1,2,2,10,14,20037,0,1,39
1,3,1,1,14,20037,0,1,99
8,2,2,0,14,20037,1,1,39
1,3,1,0,14,20037,0,1,99
1,3,1,2,14,20037,0,1,99
8,2,2,28,14,20037,1,1,39
1,3,1,6,14,20037,0,1,39
1,2,1,0,14,20037,0,1,99
1,2,1,24,14,20037,0,1,39
1,2,1,63,14,20037,0,0,99
1,3,1,6,14,20037,0,1,99
1,2,1,0,14,20037,0,1,39
1,6,3,0,14,20037,0,1,99
1,3,1,19,14,20037,1,1,39
1,2,1,4,14,20006,0,1,39
1,2,1,1,14,20037,0,1,39
1,3,1,10,14,20036,0,1,32
9,2,2,0,14,20037,0,1,32
1,3,1,1,14,20037,0,1,99
1,2,1,3,14,20037,0,1,39
1,2,1,6,14,20006,0,1,39
1,2,1,6,14,20037,0,1,99
1,2,1,21,14,20006,0,0,39
1,2,2,0,14,20006,0,1,39
1,3,1,0,14,20037,0,1,39
1,4,1,0,14,20037,0,1,32
1,2,1,6,14,20037,0,1,39
1,3,1,0,14,20037,0,1,39
8,4,1,8,14,20037,0,1,39
