name,host_id,host_name,host_since,property_type,price,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,is_location_exact,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_365,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,city,state,bed_type,cleaning_fee,extra_people,calendar_last_scraped
Slumber @ Swann St ~ 2 Bed 2 Bath,37014,Lara & Alex,9/8/09,1,199,3,1,0,14,20009,0,1,96,25,25,1,0,6,2,2,2,0,0,500,4,3,1125,354,0,0,0,0,0,0,1,3,0,0,22,0,Washington,DC,Real Bed,125,20,10/3/15
"Sunny, fab 1bd in brownstone",2538147,Emily,6/3/12,1,139,2,1,49,14,20036,0,1,32,3,3,1,0,3,1,1,2,900,2800,500,2,3,180,275,3/10/14,9/30/15,4,93,9,9,1,2,0,0,2,2.57,Washington,DC,Real Bed,75,20,10/3/15
Walk to the White House-Sleeps 6!,14910075,Alex,4/29/14,1,225,3,1,6,14,20009,0,1,96,2,2,1,0,6,1,1,3,0,0,150,2,2,1125,345,10/30/14,7/27/15,3,93,10,9,1,3,0,0,2,0.53,Washington,DC,Real Bed,45,40,10/3/15
"Full Studio, Foggy bottom, Dupont",9923196,Celine,11/10/13,1,149,2,1,22,14,20037,0,1,32,1,1,1,0,2,1,0,1,0,0,500,1,1,1125,365,2/18/14,6/18/15,3,94,9,9,1,3,0,0,1,1.11,Washington,DC,Real Bed,0,0,10/3/15
Dupont Stay at Dupont Circle,40989799,Elvis,8/9/15,8,36,1,3,7,14,20009,0,1,32,3,3,1,0,6,4,1,6,0,0,0,1,2,30,323,8/24/15,9/28/15,4,97,10,9,1,3,0,0,3,5.12,Washington,DC,Real Bed,0,36,10/3/15
Junior One Bedroom in DuPont Circle,5750426,Ebru,4/3/13,1,94,2,1,4,14,20036,0,1,32,1,1,1,0,3,1,1,1,560,0,0,2,4,1125,91,6/29/15,8/16/15,3,100,10,10,1,2,0,0,1,1.24,Washington,DC,Real Bed,25,30,10/3/15
"Luxury Condo, Next to Dupont Metro!",15044614,Sanjay,5/3/14,1,169,3,2,12,14,20036,0,1,32,1,1,1,0,1,1,1,1,0,0,300,1,1,1125,365,5/15/14,5/7/15,2,97,9,9,1,3,0,0,1,0.71,Washington,DC,Real Bed,75,50,10/3/15
Privacy in historic Dupont rowhouse,7810862,Rae,7/29/13,11,175,3,1,1,14,20009,0,1,96,1,1,1,0,4,1,1,2,850,3200,500,1,5,1125,0,7/1/15,7/1/15,3,80,10,8,1,2,0,0,1,0.32,Washington,DC,Real Bed,75,25,10/3/15
U Street Corridor NY-style apt,18036928,Bjarne,7/13/14,1,150,2,1,2,14,20009,1,1,96,1,1,1,0,3,1,1,1,950,0,0,1,5,1125,364,8/7/14,5/3/15,2,90,10,7,1,2,0,0,1,0.14,Washington,DC,Real Bed,60,0,10/3/15
You'll [heart] this location!,41149223,Adam,8/11/15,1,180,3,1,2,14,20009,0,1,32,2,2,1,0,2,1,1,1,0,0,99,1,1,1125,73,9/6/15,9/10/15,4,90,9,8,1,1,0,0,2,2,Washington,DC,Real Bed,65,0,10/3/15
Beautiful studio on Dupont circle,7228587,Yarden,7/1/13,1,120,2,1,24,15,20036,0,0,32,1,1,1,0,2,1,0,1,0,0,0,2,2,40,56,1/21/14,8/16/15,3,97,10,9,1,2,0,0,1,1.16,"Washington, D.C.",DC,Real Bed,20,40,10/3/15
Dupont Circle Unit 1,505796,Sunshine,4/13/11,1,115,2,1,28,14,20036,0,1,32,3,3,1,0,2,1,1,1,0,2800,0,1,30,180,339,6/20/14,9/13/15,4,93,10,9,0,1,0,0,1,1.78,Washington,DC,Real Bed,40,0,10/3/15
Lovely 2BR/2.5BA Dupont/U St house!,36318379,Christo,6/21/15,8,170,3,1,2,14,20009,0,1,96,2,2,1,0,4,2.5,2,2,0,0,150,2,3,120,25,8/2/15,8/5/15,3,80,10,7,1,2,0,0,2,0.95,Washington,DC,Real Bed,120,30,10/3/15
1 bedroom apartment in West End,34636534,Pallavee,5/31/15,1,100,2,2,0,14,20037,0,1,31,1,1,1,0,2,1,1,1,0,0,0,1,1,1125,356,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Artist’s Townhouse with Parking!,37014,Lara & Alex,9/8/09,8,300,4,1,10,14,20036,0,1,32,25,25,1,0,6,2,2,2,0,0,500,4,3,1125,323,7/19/15,9/29/15,4,100,10,10,1,1,0,0,22,3.9,Washington,DC,Real Bed,145,20,10/3/15
2BR/2BA between Logan & Dupont Cir,12147440,Ryan & Mary,2/11/14,1,150,2,1,1,14,20009,0,1,96,1,1,1,0,4,2,2,2,1000,0,0,4,3,1125,5,9/17/15,9/17/15,4,100,10,10,1,2,0,0,1,1,Washington,DC,Real Bed,50,20,10/3/15
Lovely room in prime location,41711927,Emilie,8/17/15,1,69,2,2,2,14,20009,0,1,96,1,1,1,0,2,1,1,1,425,0,0,1,2,1125,37,8/21/15,8/25/15,3,100,10,10,1,1,0,0,1,1.36,Washington,DC,Real Bed,0,0,10/3/15
Beautifully furnished studio Dupont,24938988,Eli,12/17/14,1,69,2,1,18,14,20008,0,1,32,1,1,1,0,2,1,0,1,699,2478,95,1,1,1125,66,1/5/15,9/17/15,4,88,9,8,1,3,0,0,1,1.99,Washington,DC,Real Bed,44,0,10/3/15
Simple Room in Dupont,37149052,Syd,6/30/15,1,75,2,2,0,14,20009,1,1,32,2,2,1,0,2,1,1,1,750,1575,0,1,1,30,352,0,0,0,0,0,0,1,1,0,0,2,0,Washington,DC,Real Bed,0,0,10/3/15
Nice 1 Bdrm in Heart of Dupont,9262100,Grace,10/6/13,1,99,2,2,9,14,20009,0,1,96,2,2,1,0,2,1,1,1,600,2000,0,1,2,1125,274,4/8/14,7/8/15,3,96,10,9,1,1,0,0,1,0.5,Washington,DC,Real Bed,50,0,10/3/15
DuPont Escape,17633,Charlotte,5/18/09,1,149,2,1,30,14,20036,0,1,32,32,32,1,0,2,1,1,1,998,3100,200,1,3,191,289,5/5/14,9/28/15,4,94,10,10,1,3,0,1,29,1.74,Washington,DC,Real Bed,75,0,10/3/15
Bright apartment in Dupont Circle,5169749,Livia & Manuel,2/21/13,1,100,2,1,1,14,20009,0,0,32,1,1,1,1,2,1,1,1,0,0,0,1,2,1125,268,9/23/15,9/23/15,4,100,10,10,1,2,0,0,1,1,Washington,DC,Real Bed,35,20,10/3/15
Brand new apartment Dupont Circle,11611752,Laura And Johnny,1/24/14,1,130,2,1,100,14,20009,0,0,96,2,2,1,0,2,1,1,1,840,3400,0,0,1,1125,269,8/12/14,9/30/15,4,98,10,10,1,3,0,0,2,7.18,Washington,DC,Real Bed,35,0,10/3/15
Dupont Circle Unit 1B,505796,Sunshine,4/13/11,1,90,2,1,41,14,20036,0,1,32,3,3,1,0,2,1,1,1,650,2200,0,1,5,180,320,5/5/14,9/18/15,4,86,9,8,0,1,0,0,1,2.38,Washington,DC,Real Bed,40,0,10/3/15
Great Studio In The Heart of DC,13731403,Bryan,3/31/14,1,149,2,1,12,14,20009,1,1,32,1,1,1,0,2,1,0,1,0,0,0,1,3,7,244,4/14/14,4/1/15,2,98,10,10,1,2,0,0,1,0.67,Washington,DC,Real Bed,0,0,10/3/15
Spectacular 3 Bed/2.5 Bath House,42933839,Clayton,8/30/15,8,299,4,1,0,14,20037,0,1,32,2,2,1,0,3,2.5,3,2,0,0,0,1,1,1125,344,0,0,0,0,0,0,1,3,0,0,2,0,Washington,DC,Real Bed,100,0,10/3/15
Private Entrance to Little Gem!,30984226,Gavin,4/10/15,8,135,2,2,23,14,20009,0,1,32,1,1,1,0,2,1,1,1,850,0,150,1,2,7,80,4/16/15,9/19/15,4,97,10,10,1,1,0,0,1,4.04,Washington,DC,Real Bed,0,0,10/3/15
A 1 BR in heart of Dupont Circle,12514858,Brantley,2/23/14,1,150,2,1,5,14,20036,0,1,32,4,4,1,0,3,1,1,1,1050,4050,100,3,2,1125,62,9/13/15,9/28/15,4,96,10,10,1,3,0,0,4,5,Washington,DC,Real Bed,40,0,10/3/15
