name,host_id,host_name,host_since,property_type,price,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,is_location_exact,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_365,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,city,state,bed_type,cleaning_fee,extra_people,calendar_last_scraped
Beautiful private room/bath in DC,31907999,Aaron,4/25/15,1,60,2,2,0,14,20009,1,1,2,1,1,1,0,2,2,1,1,375,0,0,1,1,1125,134,0,0,0,0,0,0,1,3,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
1BR Sunny Condo Remodeled w/Balcony,8325201,Wendy,8/22/13,1,140,2,1,28,14,20009,0,0,55,1,1,1,0,2,1,1,1,850,0,0,2,2,7,313,1/11/15,9/25/15,4,98,10,9,1,2,0,0,1,3.16,Washington,DC,Real Bed,0,20,10/3/15
Unbeatable 2 Apartment,8119528,Erick,8/12/13,1,85,2,1,13,14,20009,0,1,2,1,1,1,0,2,1,0,1,0,0,150,1,2,1125,139,5/4/15,9/15/15,4,89,10,9,1,2,0,0,1,2.55,Washington,DC,Real Bed,0,0,10/3/15
Large Luxury Studio in Dupont/AdMo,8494664,Quin,8/28/13,1,139,2,1,14,14,20009,0,1,2,1,1,1,0,1,1,0,1,800,2500,0,1,1,5,346,5/17/14,9/14/15,4,91,9,9,1,2,0,0,1,0.83,Washington,DC,Real Bed,0,0,10/3/15
Studio on quiet street/ideal spot,13304305,Tara,3/19/14,1,115,2,1,20,14,20009,0,0,55,1,1,1,0,3,1,0,2,0,0,0,1,2,7,277,8/17/14,9/7/15,4,98,10,10,1,2,0,0,1,1.45,Washington,DC,Real Bed,50,0,10/3/15
Perfect Place in the Heart of D.C.,44862695,Erin,9/22/15,1,89,2,1,0,14,20009,0,1,2,1,1,1,0,3,1,0,1,536,1890,200,1,1,10,344,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Dupont 2 Cherry Blossom,28011820,Marcy,2/19/15,1,189,3,1,1,14,20009,0,1,2,6,6,1,0,6,1,2,4,995,3795,250,6,1,1125,346,9/15/15,9/15/15,4,80,10,10,1,3,0,0,6,1,Washington,DC,Real Bed,95,15,10/2/15
Terrific Home in Heart of DC,12243051,Flatbook,2/14/14,1,90,2,1,3,14,20009,0,1,55,222,222,1,0,2,1,1,1,0,0,400,1,3,1125,0,6/19/15,8/2/15,3,73,10,7,1,2,0,0,5,0.84,Washington,DC,Real Bed,95,0,10/2/15
Spacious Apt in the Heart of DC,22585279,David,10/15/14,1,70,2,2,1,14,20009,1,1,2,1,1,1,0,1,1,1,1,450,0,0,1,1,1125,326,10/19/14,10/19/14,4,0,0,0,1,1,0,0,1,0.09,Washington,DC,Real Bed,0,0,10/2/15
"View, clean, location 0.4m to metro",1789475,Luisa,2/21/12,1,80,2,1,1,14,20009,1,1,2,1,1,1,0,4,1,0,2,500,0,0,1,6,21,25,9/8/15,9/8/15,4,100,10,10,1,3,0,0,1,1,Washington,DC,Real Bed,0,0,10/2/15
Room in English Basement Apt,42705323,Natasha,8/27/15,1,65,2,2,0,14,20009,1,1,2,1,1,1,0,2,1,1,1,400,0,0,1,1,1125,33,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/2/15
Dupont 2 Elegant Jewel,45390384,Ari,9/29/15,1,199,3,1,0,14,20009,0,1,2,4,4,1,0,6,1,2,4,1195,3895,250,6,1,1125,342,0,0,0,0,0,0,1,3,0,0,4,0,Washington,DC,Real Bed,95,15,10/2/15
Sunny & Convenient Studio,16750453,Aditi,6/13/14,1,115,2,1,0,14,20009,0,1,67,1,1,1,0,3,1,0,1,0,0,0,1,1,1125,37,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/2/15
Charm+Balcony+Dine+Drink+Park+Metro,43598894,John,9/7/15,1,125,2,1,0,14,20009,1,1,2,1,1,1,0,2,1,1,1,800,0,0,1,1,10,90,0,0,0,0,0,0,0,1,0,0,1,0,Washington,DC,Real Bed,55,0,10/2/15
Modern 1BR 1.5 Bath Apt Historic DC,5887057,Mara,4/11/13,1,168,3,1,5,14,20009,1,1,2,1,1,1,0,3,1.5,1,1,1071,3780,250,2,2,1125,350,4/26/15,7/5/15,3,92,10,10,1,2,0,0,1,0.93,Washington,DC,Real Bed,65,15,10/2/15
Guest Bed: Central to Conferences,4842646,Stacey,1/25/13,1,75,2,3,4,14,20009,0,0,2,2,2,1,0,1,1,1,1,0,0,125,1,2,5,365,5/27/13,11/17/14,4,90,9,10,1,3,1,1,1,0.14,Washington,DC,Real Bed,45,0,10/2/15
Private oasis. Top floor w/ 2 decks,1643627,Timothy,1/23/12,1,150,2,1,2,14,20009,0,1,2,1,1,1,0,2,1.5,1,1,827,2919,100,2,2,1125,152,5/9/15,5/19/15,2,90,9,9,1,3,0,0,1,0.41,Washington,DC,Real Bed,50,0,10/2/15
Lovely room 2 in apt,8001845,Robin,8/7/13,1,84,2,2,17,14,20009,0,1,2,6,6,1,0,2,1,1,1,0,0,100,1,2,1125,356,3/11/15,8/1/15,3,91,9,10,1,1,0,0,1,2.46,Washington,DC,Real Bed,0,15,10/2/15
Sunny Studio - Dupont/Adams Morgan,476581,Kelly,4/1/11,1,75,2,1,6,15,20009,0,1,55,1,1,1,0,2,1,1,1,600,1850,0,1,2,1125,354,3/1/14,5/23/15,2,70,8,8,1,3,0,0,1,0.31,"Washington, D.C.",DC,Real Bed,0,0,10/2/15
Cozy and Spacious Apartment,2530459,Audrey,6/3/12,1,163,3,1,2,14,20009,0,1,55,1,1,1,0,5,2,2,2,893,0,0,4,2,1125,72,7/20/15,7/24/15,3,90,10,7,1,1,0,0,1,0.79,Washington,DC,Real Bed,80,25,10/2/15
Super Host! Beautiful Home,11392153,Zack,1/17/14,8,95,2,2,2,14,20009,1,0,2,2,2,1,0,1,1,1,1,650,2250,300,1,4,365,334,3/20/15,4/23/15,2,100,10,9,1,3,0,0,2,0.3,Washington,DC,Real Bed,50,0,10/2/15
Private Bed + Bathroom in Kalorama.,2170894,Tomas And Katri,4/18/12,1,95,2,2,69,14,20009,0,1,55,1,1,1,0,2,1,1,1,0,0,0,1,2,8,348,5/7/12,9/21/15,4,99,10,10,1,2,1,1,1,1.66,Washington,DC,Real Bed,16,12,10/2/15
Condo in Heart of DC,38462947,Mary,7/14/15,6,200,3,1,3,14,20009,0,1,2,1,1,1,0,4,1,2,3,1250,3800,0,4,1,1125,294,9/10/15,9/29/15,4,100,10,10,0,2,0,0,1,3,Washington,DC,Real Bed,0,50,10/2/15
Comfy 1BD in the Heart of Dupont!,7167040,Christopher,6/28/13,1,150,2,1,18,14,20009,0,1,32,1,1,1,0,4,1,1,1,950,0,200,2,2,14,88,3/31/14,9/20/15,4,92,9,9,1,2,0,0,1,0.98,Washington,DC,Real Bed,100,40,10/2/15
Clean + Charm + Location ♡ up to 4,24599895,Genie,12/7/14,1,138,2,1,68,14,20009,0,1,2,1,1,1,0,3,1,0,2,821,2898,0,2,2,150,9,1/7/15,9/23/15,4,96,10,10,1,1,0,0,1,7.56,Washington,DC,Real Bed,0,10,10/2/15
Vintage large 1 bdrm/2,19837788,Sareen,8/11/14,1,90,2,1,1,14,20009,1,1,2,1,1,1,0,4,1,1,1,600,1600,0,1,2,30,94,7/17/15,7/17/15,3,60,10,10,1,1,0,0,1,0.38,Washington,DC,Real Bed,80,0,10/2/15
1-br in Dupont/2,10180365,Vladica,11/21/13,1,100,2,1,0,14,20009,0,1,2,1,1,1,0,1,1,1,1,600,2200,300,1,14,45,220,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,100,0,10/2/15
Convenient Studio in Dupont,1864688,Art,3/5/12,1,115,2,1,37,14,20008,0,1,55,7,7,1,0,2,1,1,1,0,2750,0,1,1,1125,324,8/17/14,3/30/15,2,95,10,10,0,1,0,0,6,2.69,Washington,DC,Real Bed,50,0,10/2/15
Unique penthouse w/rooftop,14692970,P,4/24/14,1,246,3,1,0,14,20009,0,1,2,8,8,1,0,8,2,3,5,1553,5481,300,6,4,1125,337,0,0,0,0,0,0,1,3,0,0,7,0,Washington,DC,Real Bed,105,20,10/2/15
Dupont 2 Glamour,28011820,Marcy,2/19/15,1,199,3,1,0,14,20009,0,1,2,6,6,1,0,6,1,2,4,1195,3895,250,6,1,1125,337,0,0,0,0,0,0,1,3,0,0,6,0,Washington,DC,Real Bed,95,15,10/2/15
Comfy Couch in Beautiful DC Space,15519236,Louis,5/14/14,1,43,1,3,1,14,20009,0,1,2,3,3,1,0,1,1,1,1,245,860,0,1,1,1125,360,9/20/15,9/20/15,4,100,10,10,1,2,0,0,2,1,Washington,DC,Couch,0,0,10/2/15
1 BR Adams Morgan Condo with Patio,21729672,Kevin,9/24/14,1,139,2,1,6,14,20009,1,1,55,1,1,1,0,2,1,1,1,0,0,0,1,2,7,332,9/28/14,9/22/15,4,97,9,10,1,2,0,0,1,0.49,Washington,DC,Real Bed,0,0,10/2/15
Stay and Enjoy 3br Parking Sleeps 8,8008783,Cliff,8/7/13,8,550,6,1,8,14,20008,0,1,55,30,30,1,0,8,2.5,3,4,3500,0,0,6,3,1125,320,5/22/15,9/30/15,4,97,10,10,1,3,0,0,27,1.78,Washington,DC,Real Bed,200,5,10/2/15
Spacious Bright Room-Dupont circle,17476987,Rachida,6/30/14,8,79,2,2,5,14,20009,1,1,32,1,1,1,0,1,4,1,1,0,0,0,2,5,365,314,8/21/14,6/28/15,3,92,10,10,1,3,0,0,1,0.37,Washington,DC,Real Bed,0,0,10/3/15
3BR Dupont / Kalorama Apt.,1768039,Elizabeth,2/17/12,1,250,3,1,1,14,20009,1,1,2,2,2,1,0,7,2,3,3,0,0,100,4,2,1125,139,5/5/15,5/5/15,2,80,10,6,1,1,0,0,2,0.2,Washington,DC,Real Bed,10,10,10/3/15
Dupont 2 Wonderful Grace,39742620,Arlene,7/27/15,1,199,3,1,0,14,20009,1,1,2,4,4,1,0,6,2,2,4,1250,3895,250,6,1,1125,345,0,0,0,0,0,0,1,3,0,0,4,0,Washington,DC,Real Bed,95,15,10/3/15
Large Zen boutique in historic 1 BR,9391057,Jenny,10/12/13,1,129,2,1,118,14,20010,0,0,2,1,1,1,0,6,1,1,4,0,0,500,2,2,1125,332,10/20/13,9/17/15,4,98,10,10,1,3,0,0,1,4.96,Washington,DC,Real Bed,65,20,10/3/15
Dupont Circle Bright and Spacious,4398098,Whitney,12/13/12,1,99,2,1,16,14,20009,0,1,2,1,1,1,0,4,1,1,1,600,0,150,2,6,30,275,1/29/14,10/22/14,4,84,9,7,1,2,0,0,1,0.78,Washington,DC,Real Bed,35,30,10/3/15
2br/1bath basement in 2,33747834,Goksel,5/19/15,1,128,2,1,9,14,20009,1,1,2,1,1,1,0,4,1,2,2,800,2950,0,3,1,1125,111,5/24/15,8/11/15,3,85,9,7,1,2,0,0,1,2.03,Washington,DC,Real Bed,0,0,10/3/15
Perfect Kalorama Apartment!,5621792,Vanessa,3/25/13,1,210,3,1,5,14,20008,0,1,55,2,2,1,0,6,1,2,3,1200,3500,0,5,2,14,147,10/14/14,6/28/15,3,84,9,7,0,1,0,0,2,0.42,Washington,DC,Real Bed,50,20,10/3/15
"Huge 1BR, 2/16th St NW",15857963,Dale,5/22/14,1,119,2,1,1,14,20009,0,1,2,2,2,1,0,4,1,1,1,699,2689,0,2,3,1125,72,9/22/15,9/22/15,4,100,10,8,1,2,0,0,1,1,Washington,DC,Real Bed,20,50,10/3/15
Sunny studio with beautiful view!,6063147,Leo,4/23/13,1,95,2,1,2,14,20009,1,1,26,1,1,1,0,2,1,0,1,600,0,0,1,1,1125,139,5/21/15,7/5/15,3,100,10,9,1,3,0,0,1,0.44,Washington,DC,Real Bed,0,0,10/3/15
2 Movie Lovers' Studio,406283,David,2/23/11,1,120,2,1,108,14,20009,0,1,2,1,1,1,0,2,1,1,1,840,0,0,2,2,60,349,4/19/12,9/17/15,4,89,9,9,1,2,0,0,1,2.57,Washington,DC,Real Bed,0,55,10/3/15
Spacious studio near Adams Morgan,4617997,Leo,1/7/13,1,90,2,1,18,14,20009,0,1,67,1,1,1,0,2,1,1,1,580,1950,0,2,2,1125,275,6/22/13,9/21/15,4,89,9,9,1,2,0,0,1,0.65,Washington,DC,Real Bed,30,25,10/3/15
American Guest House,138459,L,6/4/10,2,160,3,2,12,14,20009,0,1,55,1,1,1,0,2,1,1,1,0,0,0,1,2,7,321,9/25/11,7/6/15,3,96,10,10,1,2,0,0,1,0.24,Washington,DC,Real Bed,0,0,10/3/15
Crash on my couch!,12895831,Ryan,3/7/14,1,25,1,3,1,14,20009,0,1,96,1,1,1,0,2,1,1,1,0,0,0,1,1,1125,22,8/18/15,8/18/15,3,100,10,8,1,1,0,0,1,0.64,Washington,DC,Couch,0,0,10/3/15
Sofa Bed for 2 in lg one bdrm aprt.,4086380,Ruth,11/7/12,1,70,2,3,57,14,20009,1,1,2,1,1,1,0,2,1,1,1,0,0,0,1,3,1125,362,10/20/13,9/18/15,4,92,9,9,1,3,0,1,1,2.39,Washington,DC,Pull-out Sofa,0,10,10/3/15
"Bright, Beautiful Space in Dupont",24157565,Diana,11/25/14,1,175,3,1,5,14,20009,1,1,2,1,1,1,0,3,1,0,1,0,0,150,2,1,1125,353,5/14/15,9/23/15,4,100,9,10,1,2,0,0,1,1.05,Washington,DC,Real Bed,20,25,10/3/15
1 Bedroom in Central 2,11111060,Bb,1/7/14,1,101,2,1,0,14,20009,1,1,2,2,2,0,0,2,1,1,1,735,0,250,2,1,1125,365,0,0,0,0,0,0,1,1,0,0,2,0,Washington,DC,Airbed,65,35,10/3/15
Loft/Futon/1Bath - Kalorama Park,43012756,David,8/31/15,1,85,2,3,0,14,20009,1,1,55,3,3,1,0,2,1,1,1,0,0,0,2,1,1125,90,0,0,0,0,0,0,1,1,0,0,3,0,Washington,DC,Real Bed,20,20,10/2/15
Charming 1BD/1BH DC Apt,3914691,Jon,10/18/12,1,170,3,1,49,14,20009,0,0,55,1,1,1,0,3,1,1,1,0,0,200,1,3,14,19,3/16/14,8/29/15,3,96,10,9,0,2,0,0,1,2.59,Washington,DC,Real Bed,25,25,10/3/15
Dupont 2 Chic Haven,39742620,Arlene,7/27/15,1,159,3,1,0,14,20009,1,1,2,4,4,1,0,4,1,1,2,995,2895,150,4,1,1125,345,0,0,0,0,0,0,1,3,0,0,4,0,Washington,DC,Real Bed,75,15,10/3/15
NYC-Style Loft in Heart of DC,4881164,Whitney,1/28/13,1,200,3,1,6,14,20009,0,1,2,1,1,1,0,3,1,2,2,1200,0,0,2,1,1125,33,4/27/15,9/30/15,4,85,9,10,1,2,0,0,1,1.13,Washington,DC,Real Bed,70,20,10/3/15
1BR library style condo AdamsMorgan,41676006,Margret,8/17/15,6,139,2,1,0,14,20009,1,1,55,1,1,1,0,2,1,1,1,850,2900,150,1,2,90,151,0,0,0,0,0,0,0,1,0,0,1,0,Washington,DC,Real Bed,50,0,10/3/15
Quiet oasis in the heart of Admo,9335473,Emiliano,10/9/13,1,275,4,1,11,14,20009,0,1,2,1,1,1,0,3,1,1,1,0,0,0,1,1,1125,356,6/14/15,9/18/15,4,95,10,9,1,1,0,0,1,2.95,Washington,DC,Real Bed,0,0,10/2/15
Taft Bridge Inn Rm w/ Private Bath,2334290,Taft Bridge Inn,5/9/12,2,159,3,2,1,14,20009,1,1,55,4,4,1,0,1,1,1,1,0,0,0,1,1,1125,288,6/18/14,6/18/14,3,100,10,10,1,3,0,0,4,0.06,Washington,DC,Real Bed,15,0,10/3/15
Beautiful Apt w/ Private Roof Decks,27970796,George,2/18/15,9,97,2,1,2,14,20009,0,1,2,1,1,1,0,2,1,1,1,0,0,0,1,3,1125,199,4/6/15,6/19/15,3,90,10,9,1,3,0,0,1,0.33,Washington,DC,Real Bed,80,0,10/2/15
Beautiful 1BR in Most Lively Area,4196122,Sarah,11/19/12,1,110,2,1,1,14,20009,1,1,2,1,1,1,0,4,1,1,2,0,0,0,1,1,1125,47,9/21/15,9/21/15,4,100,10,10,1,1,0,0,1,1,Washington,DC,Real Bed,25,0,10/3/15
Fall in DC!! Great Apt- Super Host!,11392153,Zack,1/17/14,1,169,3,1,34,14,20009,1,0,2,2,2,1,0,3,2,2,3,0,4550,250,2,3,1125,74,3/31/14,9/25/15,4,98,10,10,1,3,0,0,2,1.85,Washington,DC,Real Bed,75,30,10/3/15
Peaceful Oasis Near U St/Dupont,8713526,Rae,9/8/13,1,99,2,2,22,14,20009,0,1,2,2,2,1,0,1,1,1,1,600,1999,250,1,3,1125,340,10/6/13,8/15/15,3,96,9,9,1,2,1,0,2,0.91,Washington,DC,Real Bed,50,0,10/2/15
9-22 to 9-24 2 Room,36715771,Josh,6/25/15,1,225,3,2,0,14,20009,1,1,2,1,1,1,0,1,1,1,1,0,0,0,1,1,1125,365,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Chic Sanctuary in the Capital,4717941,Joe,1/15/13,1,80,2,3,68,14,20009,1,1,55,1,1,1,0,1,1,1,1,571,2016,150,1,1,30,362,1/23/13,8/28/15,3,94,10,9,1,2,0,1,1,2.07,Washington,DC,Real Bed,10,10,10/3/15
Private Room Available,24126631,Jonathan,11/24/14,1,110,2,2,10,14,20009,0,1,2,2,2,1,0,2,1,1,1,600,0,0,1,1,1125,358,4/22/15,8/21/15,3,96,10,10,1,1,0,0,2,1.82,Washington,DC,Real Bed,0,0,10/3/15
Centrally located private bedroom,1234693,Mouhamad,10/1/11,1,95,2,2,11,14,20009,0,0,2,1,1,1,0,2,1,1,1,600,0,0,2,2,1125,158,4/28/15,9/13/15,4,98,10,9,1,3,0,0,1,2.08,Washington,DC,Real Bed,35,20,10/3/15
Cozy 1br in 2,6527,Ami,1/13/09,1,95,2,1,46,14,20009,0,1,2,2,2,1,0,4,1,1,2,650,2500,200,1,2,31,361,9/22/09,6/29/15,3,89,9,8,1,2,0,0,2,0.63,Washington,DC,Real Bed,0,20,10/3/15
Dream Garden Apt -Ritz of B&B DC!,421618,Sheri,3/3/11,1,159,3,1,12,14,20009,1,1,55,1,1,1,0,2,1,1,1,950,2900,300,1,3,180,80,5/23/11,1/13/13,1,95,9,10,1,2,0,0,1,0.23,Washington,DC,Real Bed,75,0,10/3/15
Beautiful studio in  Adams Morgan,19068776,Anne,7/28/14,1,150,2,1,3,14,20009,0,1,55,1,1,1,0,2,1,0,1,770,1800,100,2,3,30,365,8/8/14,5/22/15,2,100,10,10,1,2,0,0,1,0.21,Washington,DC,Real Bed,0,50,10/3/15
Sunny Dupont Circle Convenience,32067,Melissa,8/17/09,1,90,2,3,77,14,20009,1,1,55,4,4,1,0,1,1,1,1,0,0,0,1,1,4,73,12/17/13,8/30/15,3,95,10,10,1,1,1,1,4,3.52,Washington,DC,Pull-out Sofa,0,0,10/2/15
1 BD Apt in the Heart of Kalorama,11111060,Bb,1/7/14,1,101,2,1,0,14,20009,1,1,55,2,2,0,0,2,1,1,1,735,0,250,2,2,1125,365,0,0,0,0,0,0,1,3,0,0,2,0,Washington,DC,Airbed,65,35,10/3/15
Furnished studio in the heart of DC,40068602,Jeremy,7/30/15,1,149,2,1,0,14,20009,1,1,96,1,1,1,0,1,1,0,1,0,0,0,1,1,1125,365,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Taft Bridge Inn w/ Single Room,2334290,Taft Bridge Inn,5/9/12,2,89,2,2,13,14,20009,1,1,55,4,4,1,0,1,2,1,1,595,0,0,1,1,1125,245,6/26/14,7/3/15,3,94,10,10,1,3,0,0,4,0.84,Washington,DC,Real Bed,13,0,10/3/15
Twin Bed in Kalorama/Adams Morgan,36376259,Jack,6/21/15,1,60,2,2,1,14,20009,0,1,55,1,1,1,0,1,1,1,1,0,0,0,1,1,5,349,9/24/15,9/24/15,4,80,10,10,1,1,0,0,1,1,Washington,DC,Real Bed,0,0,10/3/15
Modern 1br with Great Views in Admo,1006014,Ajay,8/22/11,1,99,2,1,1,14,20009,1,1,55,1,1,1,0,3,1,1,1,549,0,0,1,3,1125,273,8/28/14,8/28/14,3,80,8,6,1,2,0,0,1,0.07,Washington,DC,Real Bed,80,0,10/3/15
2 Scandinavian Style 1BD,1452493,Alexandra,11/29/11,1,125,2,1,3,14,20009,0,1,2,1,1,1,0,2,1,1,1,750,2400,250,0,3,14,338,4/29/14,5/17/15,2,93,10,10,1,3,0,0,1,0.17,Washington,DC,Real Bed,55,0,10/3/15
2/U Street Studio Apt.,5073091,Sean,2/13/13,1,120,2,1,7,14,20009,0,1,2,1,1,1,0,2,1,0,1,700,0,0,1,2,1125,220,3/5/15,9/21/15,4,97,10,9,1,2,0,0,1,0.99,Washington,DC,Real Bed,0,0,10/3/15
Adams Morgan well equipped 2 br apt,4440623,Katy,12/18/12,1,180,3,1,4,14,20009,0,1,55,1,1,1,0,5,1,2,5,1100,3600,200,1,3,1125,337,5/2/15,9/21/15,4,90,9,10,1,3,0,0,1,0.77,Washington,DC,Real Bed,75,0,10/3/15
Convenient & Cozy in 2,35488526,Jack,6/10/15,1,115,2,1,0,14,20009,0,1,2,1,1,1,0,3,1,1,1,775,2500,0,3,2,1125,299,0,0,0,0,0,0,0,3,0,0,1,0,Washington,DC,Real Bed,15,25,10/3/15
Kalorama / Adams Morgan Apartment,26079515,Omar,1/13/15,1,109,2,2,22,14,20009,0,0,55,1,1,1,0,2,1,1,1,900,3000,500,1,1,1125,360,3/22/15,9/29/15,4,98,10,10,1,3,0,0,1,3.37,Washington,DC,Real Bed,60,20,10/3/15
2B/2B Entire Apt. - Kalorama Park,43012756,David,8/31/15,1,185,3,1,2,14,20009,1,1,55,3,3,1,0,4,2,1,2,0,0,0,4,1,5,87,9/2/15,9/28/15,4,60,6,2,1,1,0,0,3,1.87,Washington,DC,Real Bed,40,20,10/3/15
"Bright, Spacious + Modern (w/patio)",1684868,Yvonne,2/1/12,1,209,3,1,9,14,20009,0,1,2,1,1,1,0,3,2,1,2,0,0,500,2,3,1125,17,4/6/15,9/8/15,4,100,10,10,1,3,0,0,1,1.49,Washington,DC,Real Bed,70,10,10/3/15
Beautiful 1B in 2/Dupont,4374074,Jesse,12/10/12,1,139,2,1,9,14,20009,0,1,2,1,1,1,0,3,1,1,1,0,0,200,2,3,1125,119,5/28/14,8/13/15,3,100,10,10,1,3,1,1,1,0.55,Washington,DC,Real Bed,75,10,10/3/15
Sunny Studio w/ Roof Deck + Views!,10366433,Sarah,12/1/13,1,125,2,1,6,14,20009,1,1,55,1,1,1,0,2,1,0,1,0,0,0,1,1,1125,349,5/17/15,9/13/15,4,97,10,10,1,3,0,0,1,1.29,Washington,DC,Real Bed,0,0,10/3/15
Historic row house in 2,2599368,Elham,6/10/12,8,165,3,1,0,14,20009,0,1,2,1,1,1,0,3,2,2,2,900,3500,0,1,3,1125,273,0,0,0,0,0,0,1,3,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Delightful apt in 2 DC!,10569373,Mayra,12/11/13,1,108,2,1,0,14,20009,1,1,2,5,5,1,0,3,1,1,1,650,1920,0,1,4,1125,324,0,0,0,0,0,0,1,2,0,0,5,0,Washington,DC,Real Bed,0,0,10/3/15
Luxury 1 bedroom in Dupont Circle,4993788,Blair,2/6/13,1,120,2,1,21,14,20008,0,1,55,1,1,1,0,3,1,1,1,714,2520,0,1,3,90,318,9/1/14,9/20/15,4,97,10,9,1,3,0,0,1,1.58,Washington,DC,Real Bed,80,30,10/3/15
Cute hip 2 bdrm 2 bath w/ roofdeck!,1397804,Lauren,11/12/11,1,150,2,1,0,14,20009,0,1,2,1,1,1,0,3,2,2,1,0,0,0,1,1,1125,80,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Luxury Condo in 2,867791,Vadim,7/25/11,1,295,4,1,31,14,20009,1,1,2,1,1,1,0,4,2,2,2,1900,7500,950,2,4,100,352,11/17/11,9/5/15,4,93,10,10,1,3,0,0,1,0.66,Washington,DC,Real Bed,125,150,10/3/15
Perfect 1-BR in Boutique Building,5200363,Harry,2/23/13,6,110,2,1,8,14,20009,0,1,2,2,2,1,0,2,1,1,1,650,2200,0,1,2,1125,301,2/15/15,8/7/15,3,88,9,10,1,1,0,0,1,1.04,Washington,DC,Real Bed,60,0,10/3/15
AdMo Penthouse w/ Private Deck,7612976,John-Erik,7/20/13,1,225,3,1,1,14,20009,0,1,2,1,1,1,0,5,2,2,2,0,0,0,1,1,5,31,9/20/15,9/20/15,4,100,10,10,1,2,0,0,1,1,Washington,DC,Real Bed,50,0,10/3/15
Livin' it up in the heart of DC!,383802,Arami,2/9/11,1,55,2,3,7,14,20009,1,1,2,1,1,1,0,1,1,1,1,0,0,0,1,1,60,349,8/17/15,9/18/15,4,100,10,10,1,2,0,0,1,4.38,Washington,DC,Couch,25,0,10/3/15
Fabulous room 2(in 2Bd),1878219,Olga,3/7/12,1,78,2,2,20,14,20009,1,1,2,1,1,1,0,1,1,1,1,450,1500,0,1,1,21,275,7/23/12,12/7/14,1,100,10,10,1,2,0,0,1,0.51,Washington,DC,Real Bed,0,0,10/3/15
Just like home,10618457,Alex,12/14/13,1,139,2,1,17,14,20009,1,1,2,1,1,1,0,3,1,1,1,834,2700,500,3,2,1125,288,9/18/14,9/18/15,4,94,9,9,1,2,0,0,1,1.34,Washington,DC,Real Bed,100,45,10/3/15
Dupont Circle room #2 shared bath,1386702,John,11/8/11,8,85,2,2,18,14,20009,1,1,96,12,12,1,0,2,1,1,1,0,0,0,1,2,180,159,10/15/14,9/13/15,4,93,9,9,1,3,0,0,12,1.53,Washington,DC,Real Bed,0,5,10/3/15
Studio in the heart of Adams Morgan,8306638,Halima,8/21/13,1,82,2,1,11,14,20009,0,1,55,1,1,1,0,2,1,0,1,0,0,100,1,3,365,326,9/16/13,9/22/15,4,94,10,10,1,3,0,0,1,0.44,Washington,DC,Real Bed,50,0,10/3/15
Ultra modern and classy 2BR,2291656,Faya,5/4/12,1,160,3,1,43,14,20009,0,1,2,2,2,1,0,9,2,2,6,0,0,500,4,1,1125,209,4/4/14,9/21/15,4,95,10,9,1,3,0,0,1,2.35,Washington,DC,Real Bed,0,40,10/3/15
Spacious 2 artist loft,966183,Kat,8/13/11,1,100,2,1,1,14,20009,0,1,2,1,1,1,0,4,1,1,1,0,2500,500,2,3,50,92,4/12/15,4/12/15,2,80,6,6,1,3,0,0,1,0.17,Washington,DC,Real Bed,50,15,10/3/15
Studio 2 blocks from Dupont Circle,10981095,Ashley,1/3/14,1,125,2,1,7,14,20009,0,1,32,1,1,1,0,2,1,0,1,800,0,200,1,2,1125,275,10/13/14,7/6/15,3,89,9,9,1,3,0,0,1,0.59,Washington,DC,Real Bed,30,0,10/3/15
Modern 2 bed 2 bath in downtown DC,7424090,Leslie,7/11/13,1,130,2,1,6,14,20009,0,1,55,1,1,1,0,6,2,2,2,0,0,500,4,1,365,263,3/29/15,9/26/15,4,96,10,9,1,3,0,0,1,0.95,Washington,DC,Real Bed,50,30,10/3/15
Large 2 BR in the Middle of it all!,6186308,Adriana,5/1/13,1,150,2,1,15,14,20009,0,1,2,1,1,1,0,6,1,2,2,900,0,0,4,2,365,292,5/28/13,8/3/15,3,99,10,9,1,2,0,0,1,0.52,Washington,DC,Real Bed,0,15,10/3/15
